Loan no,Dependents,Graduate,Self_employed,bnf_income,co_bnf_income,loan_amt,loan_term,cred_hist,property_worth,property_area,loan_status
1,5,1,0,6500,19169,124000,240,0,462000,2,0
2,5,1,1,16827,9961,41000,120,0,327000,0,0
3,3,0,0,153,292,82000,180,0,218000,2,0
4,5,0,1,11538,1869,112000,240,1,35000,0,0
5,5,1,0,10333,17673,14000,60,1,253000,1,1
6,5,0,0,12757,37,109000,120,1,29000,1,0
7,4,1,0,1842,288,106000,180,0,264000,1,0
8,2,1,0,6729,4370,50000,180,1,393000,2,1
9,3,1,0,19954,18756,140000,180,0,431000,1,0
10,0,1,0,11323,5537,88000,60,0,429000,2,1
11,3,1,1,9658,2704,30000,60,0,173000,0,0
12,5,1,0,19072,6270,129000,180,1,97000,0,0
13,4,0,1,18636,2355,17000,180,0,31000,1,0
14,2,0,1,1724,13966,130000,180,1,7000,0,1
15,1,1,1,10383,14945,59000,60,0,221000,0,1
16,2,0,0,13030,16413,68000,180,1,262000,2,1
17,4,1,0,537,1548,33000,240,1,102000,2,1
18,1,0,0,11020,4596,21000,240,1,168000,1,1
19,1,0,1,1999,6418,38000,180,0,127000,2,1
20,2,1,0,2483,17807,21000,180,1,313000,1,1
21,5,0,1,17451,600,149000,240,0,298000,0,0
22,2,0,0,12609,14989,2000,120,1,93000,0,1
23,1,1,0,9503,7448,4500,60,0,80000,2,1
24,2,1,1,798,8009,7000,120,0,38000,1,1
25,2,1,0,9657,7958,41000,180,0,156000,0,0
26,2,0,0,55,328,146000,240,0,375000,2,0
27,1,0,0,1416,1881,48000,60,1,21000,2,1
28,5,0,0,4389,5075,62000,240,0,3000,1,0
29,5,0,1,9789,15255,73000,240,1,182000,1,1
30,4,0,1,3757,9832,32000,120,0,221000,2,0
31,2,1,0,8692,1425,55000,120,1,441000,2,1
32,1,0,0,3753,16139,123000,240,0,187000,1,0
33,1,1,0,12949,193,95000,180,0,286000,1,1
34,2,0,1,5734,18114,1000,120,1,286000,2,1
35,5,1,1,53,912,8000,180,1,313000,0,1
36,1,0,0,7982,481,94000,180,0,129000,1,0
37,3,0,1,10466,12044,59000,180,1,253000,2,1
38,0,0,1,649,13186,63000,180,0,168000,2,1
39,1,1,0,7391,10202,25000,120,0,314000,0,0
40,0,0,0,159,11833,20000,60,1,18000,2,1
41,1,0,1,2668,17192,35000,240,0,213000,1,1
42,2,1,1,2625,1543,124000,240,0,61000,0,0
43,1,0,1,7593,2725,131000,120,0,222000,2,1
44,2,0,1,8360,2413,74000,120,0,235000,2,1
45,1,0,0,4667,7285,100000,180,0,195000,0,0
46,5,1,0,1694,2658,52000,120,0,178000,0,0
47,1,0,0,8464,1119,52000,180,1,60000,0,1
48,4,1,0,315,9576,77000,60,0,164000,0,0
49,4,0,1,3487,9577,74000,240,1,129000,2,1
50,1,0,0,14962,123,146000,180,1,195000,2,1
